title,artist
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
Unholy,Sam Smith & Kim Petras
Heart Like A Truck,Lainey Wilson
Anti-Hero,Taylor Swift
Son Of A Sinner,Jelly Roll
Made You Look,Meghan Trainor
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Temperature,Sean Paul
wait in the truck,HARDY & Lainey Wilson
Thought You Should Know,Morgan Wallen
Bloody Mary,Lady Gaga
Thank God,Kane Brown & Katelyn Brown
Unstoppable,Sia
Something in the Orange (Z&E's Version),Zach Bryan
I Ain't Worried,OneRepublic
I'm Good (Blue),David Guetta & Bebe Rexha
Ghost,Tom MacDonald
As It Was,Harry Styles
One Thing At A Time,Morgan Wallen
No Horse To Ride,Luke Grimes
Rock and a Hard Place,Bailey Zimmerman
Memory Lane,Old Dominion
Mine,Bazzi
You Proof,Morgan Wallen
Wasted On You,Morgan Wallen
Calm Down,Rema & Selena Gomez
Players,Coi Leray
Hold My Hand,Lady Gaga
Giddy Up!,Shania Twain
I'm Good (Blue),David Guetta & Bebe Rexha
Cooler Than Me (Single Mix),Mike Posner
Fall In Love,Bailey Zimmerman
CUFF IT,Beyoncé
The Kind of Love We Make,Luke Combs
Hold Me Closer,Elton John & Britney Spears
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Gratitude,Brandon Lake
Tishomingo,Zach Bryan
golden hour,JVKE
The Summoning,Sleep Token
Just Pretend,Bad Omens
"Going, Going, Gone",Luke Combs
About Damn Time,Lizzo
What My World Spins Around,Jordan Davis
Que Vuelvas,Carin Leon & Grupo Frontera
Under the Influence,Chris Brown
Shivers,Ed Sheeran
Wreckage,Nate Smith
Me For Me,Tyler Hubbard
Bebe Dame,Fuerza Regida & Grupo Frontera
Kill Bill,SZA
Going Yeezy,"French Montana, DJ Drama & Cheeze"
Daydream,Lily Meola
Watermelon Moonshine,Lainey Wilson
Sober,P!nk
Die For You,The Weeknd
NEED A FAVOR,Jelly Roll
Tennessee Whiskey,Chris Stapleton
Victoria’s Secret,Jax
How Do I Say Goodbye,Dean Lewis
Run Away to Mars,TALK
Never Been to Spain,Three Dog Night
Chasin' You,Morgan Wallen
She Had Me At Heads Carolina,Cole Swindell
Fenty,French Montana & NAV
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Beautiful Liar,MONSTA X
Something in the Orange,Zach Bryan
Yes I Do,French Montana
Easier Said with Rum,Old Dominion
In the Air Tonight,Phil Collins
Handle On You,Parker McCollum
Goo Goo Muck,The Cramps
The Oath,"Chinx, DJ Drama & French Montana"
I'm a Believer,The Monkees
Way of the Triune God (Hallelujah Version),Tyler Childers
Just Wanna Rock,Lil Uzi Vert
Black,YoungBoy Never Broke Again
Yes I Do,French Montana
Tennessee Orange,Megan Moroney
Forget Me,Lewis Capaldi
Things A Man Oughta Know,Lainey Wilson
Hey There Delilah,Plain White T's
Sunroof,Nicky Youre & Dazy
Goodness of God (Live),CeCe Winans
Escapism.,RAYE & 070 Shake
'Til You Can't,Cody Johnson
Perfectly Loved (feat. TobyMac),Rachael Lampa
Igloo,"French Montana, DJ Drama & Rob49"
What He Didn't Do,Carly Pearce
Intro (feat. Cheeze),"French Montana, Stove God Cooks & DJ Drama"
Bones,Imagine Dragons
Until I Found You,Stephen Sanchez
New Punani,"French Montana, DJ Drama & Cheeze"
Rich Flex,Drake & 21 Savage
CUFF IT,Beyoncé
RZA,"French Montana, DJ Drama & Benny the Butcher"
Next Thing You Know,Jordan Davis
Motorcycle Drive By,Zach Bryan
Smell Like Smoke,Lainey Wilson
